Procedure,Ratio,MedianTime,MedianSplits,NoTimeout,SatisfiabilityRatio
Benchmark Heuristic,3.2,0.0247829,62,0,1
Two-Clause Heuristic,3.2,0.0171527,60.5,0,1
Random Heuristic,3.2,0.128124,124,14,0.86
Benchmark Heuristic,3.4,0.0255155,57,0,1
Two-Clause Heuristic,3.4,0.0259031,61,1,0.99
Random Heuristic,3.4,0.842114,520.5,38,0.62
Benchmark Heuristic,3.6,0.0311269,55,2,0.98
Two-Clause Heuristic,3.6,0.0516618,67.5,1,0.99
Random Heuristic,3.6,10000,10000,64,0.36
Benchmark Heuristic,3.8,0.0437518,61,5,0.95
Two-Clause Heuristic,3.8,0.338191,204.5,16,0.84
Random Heuristic,3.8,10000,10000,64,0.36
Benchmark Heuristic,4,0.364964,206,30,0.7
Two-Clause Heuristic,4,1.77302,854,49,0.51
Random Heuristic,4,10000,10000,64,0.36
Benchmark Heuristic,4.2,1.57302,757,48,0.50
Two-Clause Heuristic,4.2,10000,10000,78,0.20
Random Heuristic,4.2,10000,10000,100,0.0
Benchmark Heuristic,4.4,10000,10000,90,0.04
Two-Clause Heuristic,4.4,10000,10000,86,0.06
Random Heuristic,4.4,10000,10000,100,0.0
Benchmark Heuristic,4.6,10000,10000,100,0
Two-Clause Heuristic,4.6,10000,10000,100,0
Random Heuristic,4.6,10000,10000,100,0
Benchmark Heuristic,4.8,10000,10000,100,0
Two-Clause Heuristic,4.8,10000,10000,100,0
Random Heuristic,4.8,10000,10000,100,0
Benchmark Heuristic,5.0,10000,10000,100,0
Two-Clause Heuristic,5.0,10000,10000,100,0
Random Heuristic,5.0,10000,10000,100,0
Benchmark Heuristic,5.2,10000,10000,100,0
Two-Clause Heuristic,5.2,10000,10000,100,0
Random Heuristic,5.2,10000,10000,100,0
Benchmark Heuristic,5.4,10000,10000,100,0
Two-Clause Heuristic,5.4,10000,10000,100,0
Random Heuristic,5.4,10000,10000,100,0
Benchmark Heuristic,5.6,10000,10000,100,0
Two-Clause Heuristic,5.6,10000,10000,100,0
Random Heuristic,5.6,10000,10000,100,0
Benchmark Heuristic,5.8,10000,10000,100,0
Two-Clause Heuristic,5.8,10000,10000,100,0
Random Heuristic,5.8,10000,10000,100,0
Benchmark Heuristic,6.0,10000,10000,100,0
Two-Clause Heuristic,6.0,10000,10000,100,0
Random Heuristic,6.0,10000,10000,100,0